State Code,District Code,Sub-Distt,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,No of Households,Total Population - Persons,Total Population - Males,Total Population - Females,Population in the Age Group 0-6 - Persons,Population in the Age Group 0-6 - Males,Population in the Age Group 0-6 Females,Scheduled Castes Population - Persons,Scheduled Castes Population - Males,Scheduled Castes Population - Females,Scheduled Tribes Population - Persons,Scheduled Tribes Population - Males,Scheduled Tribes Population - Females,Literates Population - Persons,Literates Population - Males,Literates Population - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Total Worker Population - Persons,Total Worker Population - Males,Total Worker Population - Females,Main Worker Population - Persons,Main Worker Population - Males,Main Worker Population - Females,Main Cultivator Population - Persons,Main Cultivator Population - Males,Main Cultivator Population - Females,Main Agricultural Labourers Population - Persons,Main Agricultural Labourers Population - Males,Main Agricultural Labourers Population - Females,Main Household Industries Population - Persons,Main Household Industries Population - Males,Main Household Industries Population - Females,Main Other Workers Population - Persons,Main Other Workers Population - Males,Main Other Workers Population - Females,Marginal Worker Population - Persons,Marginal Worker Population - Males,Marginal Worker Population - Females,Marginal Cultivator Population - Persons,Marginal Cultivator Population - Males,Marginal Cultivator Population - Females,Marginal Agriculture Labourers Population - Persons,Marginal Agriculture Labourers Population - Males,Marginal Agriculture Labourers Population - Females,Marginal Household Industries Population - Persons,Marginal Household Industries Population - Males,Marginal Household Industries Population - Females,Marginal Other Workers Population - Persons,Marginal Other Workers Population - Males,Marginal Other Workers Population - Females,Non Worker Population - Persons,Non Worker Population - Males,Non Worker Population - Females
27,23,0000,00000000,0,0,DISTRICT,Mumbai,Total,677163,3338031,1878246,1459785,339723,176789,162934,183469,94811,88658,20666,11187,9479,2590613,1535176,1055437,747418,343070,404348,1311739,1111415,200324,1250710,1068656,182054,1289,847,442,736,529,207,35316,25662,9654,1213369,1041618,171751,61029,42759,18270,143,77,66,235,158,77,5980,2174,3806,54671,40350,14321,2026292,766831,1259461
27,23,0000,00000000,0,0,DISTRICT,Mumbai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,0000,00000000,0,0,DISTRICT,Mumbai,Urban,677163,3338031,1878246,1459785,339723,176789,162934,183469,94811,88658,20666,11187,9479,2590613,1535176,1055437,747418,343070,404348,1311739,1111415,200324,1250710,1068656,182054,1289,847,442,736,529,207,35316,25662,9654,1213369,1041618,171751,61029,42759,18270,143,77,66,235,158,77,5980,2174,3806,54671,40350,14321,2026292,766831,1259461
27,23,0000,42301000,0,0,TOWN,Greater Mumbai (M Corp.) (Part),Urban,677163,3338031,1878246,1459785,339723,176789,162934,183469,94811,88658,20666,11187,9479,2590613,1535176,1055437,747418,343070,404348,1311739,1111415,200324,1250710,1068656,182054,1289,847,442,736,529,207,35316,25662,9654,1213369,1041618,171751,61029,42759,18270,143,77,66,235,158,77,5980,2174,3806,54671,40350,14321,2026292,766831,1259461
27,23,0000,42301000,101,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.101,Urban,21368,98207,57052,41155,14379,7597,6782,3433,1823,1610,833,520,313,70216,43647,26569,27991,13405,14586,43151,36230,6921,41357,34995,6362,27,20,7,18,15,3,410,184,226,40902,34776,6126,1794,1235,559,3,1,2,3,0,3,58,17,41,1730,1217,513,55056,20822,34234
27,23,0000,42301000,102,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.102,Urban,7708,36589,19429,17160,2931,1526,1405,1794,912,882,1190,565,625,29783,16614,13169,6806,2815,3991,15380,11282,4098,14732,10857,3875,14,6,8,4,1,3,168,110,58,14546,10740,3806,648,425,223,1,1,0,0,0,0,9,5,4,638,419,219,21209,8147,13062
27,23,0000,42301000,103,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.103,Urban,5595,27019,16368,10651,2510,1271,1239,1257,735,522,508,288,220,20156,12967,7189,6863,3401,3462,14386,11494,2892,13730,11102,2628,3,2,1,5,4,1,129,75,54,13593,11021,2572,656,392,264,2,1,1,2,0,2,11,5,6,641,386,255,12633,4874,7759
27,23,0000,42301000,104,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.104,Urban,3098,15865,9450,6415,1136,613,523,801,383,418,14,11,3,13232,8015,5217,2633,1435,1198,7312,6481,831,7053,6290,763,0,0,0,2,2,0,85,51,34,6966,6237,729,259,191,68,1,1,0,0,0,0,12,2,10,246,188,58,8553,2969,5584
27,23,0000,42301000,105,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.105,Urban,5892,33167,19345,13822,2596,1324,1272,1788,907,881,170,90,80,25723,15365,10358,7444,3980,3464,14764,12309,2455,14269,11981,2288,12,9,3,3,2,1,105,59,46,14149,11911,2238,495,328,167,1,0,1,0,0,0,28,8,20,466,320,146,18403,7036,11367
27,23,0000,42301000,206,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.206,Urban,5964,30580,19608,10972,2950,1544,1406,752,465,287,269,130,139,21890,14936,6954,8690,4672,4018,15069,14023,1046,14664,13707,957,9,5,4,3,3,0,171,84,87,14481,13615,866,405,316,89,0,0,0,0,0,0,31,2,29,374,314,60,15511,5585,9926
