"","SERIAL_NO.","AREA_SQ_KM","TOT_POP_2001","SLUM_POP_2001","NONSLUM_POP_2001","POP_DENSITY_2001","SLUM_._2001","TOT_POP_2011","SLUM_POP_2011","NONSLUM_POP_2011","POP_DENSITY_2011","SLUM_._2011","RAILWAY_STATIONS","BEST_DEPOTS","POLICE_STATION","MUNICIPAL_HOSPITALS","MUNICIPAL_DISPENSARIES","MUNICIPAL_HEALTH_POSTS","PVT_HOSPITALS...NURSING_HOMES","EDUCATION_FACILITIES","MARKETS","FIRE_BRIGADE_CENTRES","RECREATION_FACILTIES"
"SERIAL_NO.",1,0.791238971210143,0.456202377259475,0.486626749289742,-0.0928967159947739,-0.637548286012799,0.558310440957864,0.536268443444238,0.584128731739755,0.212847702202472,-0.573282122311207,0.592615448274634,-0.437401932878295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AREA_SQ_KM",0.791238971210143,1,0.410259817048378,0.440007152039647,-0.0888014886719283,-0.702141946775028,0.466766503832774,0.449116555783061,0.477932014182638,0.191883657952849,-0.70270583843113,0.466115271926736,-0.32037504481458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOT_POP_2001",0.456202377259475,0.410259817048378,1,0.894666008326767,0.175465405373358,-0.255883266932152,0.749138158630651,0.979352445647199,0.789671821131968,0.723839119249211,-0.118317676568709,0.502828799249594,0.0695277281700723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLUM_POP_2001",0.486626749289742,0.440007152039647,0.894666008326767,1,-0.28282187125814,-0.310459848537762,0.931780613117166,0.906016468260439,0.885378399403566,0.482361667261061,-0.173082628628622,0.675578582790121,0.0314872834124506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NONSLUM_POP_2001",-0.0928967159947739,-0.0888014886719283,0.175465405373358,-0.28282187125814,1,0.134771134753823,-0.44494303095883,0.106120301161977,-0.25565640241285,0.491137054884981,0.127391445873367,-0.409185738141133,0.0798913295285767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POP_DENSITY_2001",-0.637548286012799,-0.702141946775028,-0.255883266932152,-0.310459848537762,0.134771134753823,1,-0.489924603192599,-0.296215408351548,-0.349762006478172,-0.0847799995942217,0.977448538302248,-0.548496674731888,0.21884241741561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLUM_._2001",0.558310440957864,0.466766503832774,0.749138158630651,0.931780613117166,-0.44494303095883,-0.489924603192599,1,0.765593884790241,0.832188611366954,0.305963145026187,-0.367800853997918,0.795148141641089,0.045180755451554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOT_POP_2011",0.536268443444238,0.449116555783061,0.979352445647199,0.906016468260439,0.106120301161977,-0.296215408351548,0.765593884790241,1,0.820316775520012,0.722171311679221,-0.142251686321436,0.527629742843219,-0.0426946434987318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLUM_POP_2011",0.584128731739755,0.477932014182638,0.789671821131968,0.885378399403566,-0.25565640241285,-0.349762006478172,0.832188611366954,0.820316775520012,1,0.19681134728322,-0.220867766716877,0.86730492312211,0.0117903536721984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NONSLUM_POP_2011",0.212847702202472,0.191883657952849,0.723839119249211,0.482361667261061,0.491137054884981,-0.0847799995942217,0.305963145026187,0.722171311679221,0.19681134728322,1,0.0232693163296168,-0.144458431927012,-0.087452922891622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POP_DENSITY_2011",-0.573282122311207,-0.70270583843113,-0.118317676568709,-0.173082628628622,0.127391445873367,0.977448538302248,-0.367800853997918,-0.142251686321436,-0.220867766716877,0.0232693163296168,1,-0.460462792821347,0.230094777895944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLUM_._2011",0.592615448274634,0.466115271926736,0.502828799249594,0.675578582790121,-0.409185738141133,-0.548496674731888,0.795148141641089,0.527629742843219,0.86730492312211,-0.144458431927012,-0.460462792821347,1,0.0542491204116094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAILWAY_STATIONS",-0.437401932878295,-0.32037504481458,0.0695277281700723,0.0314872834124506,0.0798913295285767,0.21884241741561,0.045180755451554,-0.0426946434987318,0.0117903536721984,-0.087452922891622,0.230094777895944,0.0542491204116094,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEST_DEPOTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLICE_STATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUNICIPAL_HOSPITALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"MUNICIPAL_DISPENSARIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
